Sec,N,mm/mm,mm,segments
485.38037,15295.447,1.0238871e-05,0.99943912,194
485.38135,15399.903,2.0477832e-05,1.0037103,194
485.38232,15516.298,5.1194711e-05,1.0079813,194
485.3833,15626.725,5.1194711e-05,1.0037103,194
485.38428,15755.057,8.1911588e-05,1.0079813,194
485.38525,15880.404,8.1911588e-05,1.0122524,194
485.38623,16014.706,0.00011262847,1.0122524,194
485.38721,16149.008,0.00014334534,1.0207946,194
485.38818,16292.263,0.00014334534,1.0165236,194
485.38916,16432.533,0.00016382326,1.0207946,194
485.39014,16584.742,0.00016382326,1.0207946,194
485.39111,16722.027,0.00019454015,1.0250658,194
485.39209,16847.375,0.00018430119,1.0207946,194
485.39307,16993.613,0.00022525703,1.0293369,194
485.39404,17130.9,0.00024573496,1.0293369,194
485.39502,17271.172,0.00023549599,1.0293369,194
485.396,17402.488,0.00024573496,1.0293369,194
485.39697,17542.76,0.00028669077,1.0378791,194
485.39795,17668.105,0.00031740766,1.0378791,194
485.39893,17817.332,0.0003071687,1.0421503,194
485.3999,17945.664,0.00033788558,1.0464213,194
485.40088,18082.949,0.00036860246,1.0464213,194
485.40186,18208.297,0.00037884142,1.0464213,194
485.40283,18351.551,0.0004095583,1.0464213,194
485.40381,18470.93,0.0004095583,1.0464213,194
485.40479,18608.217,0.00044027518,1.0592346,194
485.40576,18730.582,0.0004607531,1.0506924,194
485.40674,18870.852,0.00048123102,1.0549636,194
485.40771,18987.246,0.00050170894,1.0592346,194
485.40869,19115.578,0.00049146998,1.0592346,194
485.40967,19243.91,0.00053242582,1.0635058,194
485.41064,19369.26,0.0005631427,1.0635058,194
485.41162,19482.668,0.00058362063,1.0677769,194
485.4126,19611.002,0.00058362063,1.0677769,194
485.41357,19730.381,0.00060409855,1.0677769,194
485.41455,19858.713,0.00060409855,1.0720479,194
485.41553,19969.139,0.00061433751,1.0763191,194
485.4165,20094.486,0.00062457647,1.0763191,194
485.41748,20201.928,0.00063481543,1.0763191,194
485.41846,20327.275,0.00065529335,1.0763191,194
485.41943,20452.623,0.00067577127,1.0805902,194
485.42041,20566.035,0.00068601023,1.0848613,194
485.42139,20691.381,0.00068601023,1.0848613,194
485.42236,20807.777,0.00071672711,1.0848613,194
485.42334,20930.139,0.00070648815,1.0891324,194
485.42432,21049.52,0.00073720503,1.0891324,194
485.42529,21168.898,0.00073720503,1.0934036,194
485.42627,21285.293,0.00073720503,1.0934036,194
485.42725,21407.658,0.00077816087,1.0934036,194
485.42822,21521.066,0.00078839983,1.0934036,194
485.4292,21649.398,0.00080887775,1.1019458,194
485.43018,21759.824,0.00080887775,1.1019458,194
485.43115,21882.189,0.0008498336,1.1019458,194
485.43213,21995.6,0.0008498336,1.1019458,194
485.43311,22114.979,0.00089078944,1.1062169,194
485.43408,22222.42,0.00089078944,1.1062169,194
485.43506,22347.768,0.00091126736,1.1104879,194
485.43604,22449.24,0.00093174528,1.1104879,194
485.43701,22577.572,0.00096246216,1.1147591,194
485.43799,22673.074,0.00096246216,1.1147591,194
485.43896,22798.424,0.00099317904,1.1147591,194
485.43994,22893.926,0.00099317904,1.1147591,194
485.44092,23013.305,0.001003418,1.1190302,194
485.44189,23114.779,0.0010238959,1.1233013,194
485.44287,23237.141,0.0010341349,1.1190302,194
485.44385,23338.613,0.0010546128,1.1275724,194
485.44482,23446.055,0.0010750907,1.1275724,194
485.4458,23556.48,0.0010750907,1.1275724,194
485.44678,23669.891,0.0011058076,1.1318436,194
485.44775,23765.395,0.0011262855,1.1275724,194
485.44873,23881.789,0.0011467634,1.1361146,194
485.44971,23989.229,0.0011365245,1.1361146,194
485.45068,24096.67,0.0011672414,1.1318436,194
485.45166,24195.158,0.0011672414,1.1403857,194
485.45264,24302.6,0.0011877193,1.1403857,194
485.45361,24404.072,0.0011979582,1.1446569,194
485.45459,24508.529,0.0012081972,1.1446569,194
485.45557,24618.953,0.0012081972,1.1446569,194
485.45654,24720.426,0.0012184362,1.1489279,194
485.45752,24827.867,0.0012286751,1.1446569,194
485.4585,24923.371,0.001259392,1.1531991,194
485.45947,25033.797,0.001269631,1.1531991,194
485.46045,25138.254,0.001259392,1.1531991,194
485.46143,25248.68,0.0013003479,1.1531991,194
485.4624,25347.166,0.0012901089,1.1574702,194
485.46338,25457.592,0.0013208258,1.1574702,194
485.46436,25556.08,0.0013310647,1.1574702,194
485.46533,25675.459,0.0013413037,1.1660124,194
485.46631,25773.947,0.0013822595,1.1617413,194
485.46729,25881.389,0.0013720206,1.1617413,194
485.46826,25970.922,0.0013924985,1.1660124,194
485.46924,26081.348,0.0014129764,1.1702836,194
485.47021,26173.869,0.0014232154,1.1702836,194
485.47119,26290.262,0.0014436933,1.1702836,194
485.47217,26385.766,0.0014539323,1.1745546,194
485.47314,26496.191,0.0014744102,1.1745546,194
485.47412,26588.709,0.0014846491,1.1745546,194
485.4751,26696.152,0.001515366,1.1745546,194
485.47607,26782.701,0.001515366,1.1788257,194
485.47705,26890.143,0.0015460829,1.1788257,194
485.47803,26982.66,0.0015358439,1.1830969,194
485.479,27084.133,0.0015563219,1.1788257,194
