Spec No,specimen,strain_amplitude_%,stress_amplitude_MPa,Nf_cycles,failed
TorS32, Solid shaft, 0.42, 299.6, 27011, True
TorS33, Solid shaft, 0.34, 240.0, 99287, True
TorS38, Solid shaft, 0.28, 200.2, 919687, True
TorS34_1, Solid shaft, 0.21, 150.0, 1063477, False
TorS45_1, Solid shaft, 0.30, 214.9, 1090639, False
TorS39_1, Solid shaft, 0.29, 210.1, 1108763, False
90-08, 90° plate, 0.36, 259.9, 40443, True
90-03, 90° plate, 0.35, 250.0, 42650, True
90-10, 90° plate, 0.32, 222.6, 104240, True
90-16, 90° plate, 0.32, 228.3, 164041, True
90-12, 90° plate, 0.28, 190.6, 131072, True
90-38, 90° plate, 0.22, 161.6, 394116, True
90-32, 90° plate, 0.24, 173.7, 625893, True
90-66, 90° plate, 0.21, 144.8, 865205, True
90-33, 90° plate, 0.23, 168.4, 1091584, True
90-31, 90° plate, 0.23, 161.9, 1450963, False
90-30, 90° plate, 0.22, 155.3, 1117723, False
90-23, 90° plate, 0.25, 175.9, 45294, True
90-25, 90° plate, 0.25, 175.7, 45967, True
90-26, 90° plate, 0.19, 133.0, 196177, True
90-28, 90° plate, 0.18, 127.2, 210014, True
90-20, 90° plate, 0.21, 147.7, 227619, True
90-34, 90° plate, 0.18, 122.8, 716425, True
90-29, 90° plate, 0.18, 124.8, 932194, True
90-27, 90° plate,0.17, 120.1, 1271590, False
90-35, 90° plate, 0.17, 121.2, 1415524, True
